Application ID,Vertical ,Regions,Name of Application,Application Description,Users,Application Support Portfolio,Platform,Application Development Technology,Database Technology & Version,Application Support Type ( Support + Enhancements less than 160 hours),Incidents SRs,Version,Lifecycle Phase,Instances,Age ,approx. number of SR per month,approx. number of Incident per month,Number of non production environment
RB-AME001,Global,High,ICE (Global Financial Reporting and Data Warehouse),ICE is a management reporting tool for RB which is build using IBM Datastage and IBM Cognos and is widely used in RB. ,3000,Gold,Custom,"IBM Datastage, IBM Cognos, .NET",DB2 10.1,Internal/Vendor,311,IBM Datastage 8.7 and IBM Cognos 10.1,Sustain,1,8,153,158,2
RB-AME002,Global,High,HFM (Financial Consolidation),HFM is used for Statutory reporting in RB. It has a module called - DRM to maintain the hierarchies and global data standards in RB. DRM is used by Support team for development purposes only.,800,Gold,Custom,Hyperion,SQL Server 2008,Internal/Vendor,70,HFM ,Sustain,1,7,50,20,3
RB-AME003,Global,High,FIRE (SAP B/W),FIRE is a management reporting tool which has been implemented on Buy Sell model and has been built on SAP BW and SAP BO. It is been rolled out and implemented in 7 countries,60,Gold,Custom,"SAP BW, SAP BO",SAP HANA,Internal/Vendor,42,SAP BW 7.3 and SAP BO 4.0,Sustain,1,1,6,36,3
RB-AME004,Global,High,Documentum (Regulatory Dossier Management),It stores all the Regulatory documents which gets published to the various Regulatory Authorities.,1000,Silver,Cloud,JAVA,Oracle 11g,Internal / Vendor - The application is supported by a combination of internal and Vendor teams,25,Release 6.7,Sustain,1,8,20,5,2
RB-AME005,Global,High,Insight Publisher (Regulatory submissions to eCTD format),"Web-Based Publishing Tool accessed via Citrix. It allows to compile, publish, and submit product dossiers for RB products for license submissions and other legal requirements",,Silver,Cloud,Liquent,Oracle 11g,Internal / Vendor - The application is supported by a combination of internal and Vendor teams,7,Release 5.0,Sustain,1,,4,3,2
RB-AME006,Global,High,GRAIS (Regulatory affairs database),It stores the regulatory norms of different countries and also the product registration and regulatory details.,473,Silver,Custom,Lotus Notes,Lotus Notes 8.0.1,Internal/Vendor,32,2,Sunset,1,3,30,2,2
RB-AME007,Global,High,IDM (Integrated Design Management - Artwork Repository),"IDM is a global, web based system, to manage Design, Artwork and Repro. It helps in improving quality consistency and gaining speed to market. IDM supports our brand launches worldwide to enable us to get to market smarter, quicker and better.
",1300,Bronze,Cloud,SBS,NA,Internal / Vendor,205,6,Sustain,1,,170,35,2
RB-AME008,Global,High,SQUEEZE Reporting,Squeeze application contains the Raw Materials and the cost of it from the different RB suppliers on a global basis.,73,Silver,Custom,.NET,SQL,Internal / Vendor,4,3,Sunset,1,5,4,0,1
RB-AME009,Global,High,TDS  (Technical Documentation System),"TDS is a R&D and Supply application, where all the R&D documentations for all the product is being kept. Automates and accelerates the business processes associated with technical product document creation, approval and dissemination and provides a standard process to document structure and content. Currently TDS is used for master data management",4900,Gold,Custom,IBM Lotus Notes,IBM Lotus Notes,Internal / Vendor,510,9.1,Sustain,1,,460,50,2
RB-AME010,Global,High,Trackwise (Change Control for Factories),The Trackwise application delivers a global end to end change control process for RB. This application aims at getting the changes right first time and go to market as fast as possible while meeting the regulatory requirements of the product and market.,3950,Gold,Cloud,Sparta Systems,SQL Server 2005,Internal / Vendor,307,8.7.4,Sustain,1,,302,5,4
RB-AME011,Global,High,Lotus Notes Applications,"Holds multiple applications in one place. Total 42 Active Lotus Notes Based applications out of which 30 Read Only applications. Maximum applications are being used by R&D, Regulatory and Marketing team. These are other databases other than TDS.",950,Gold,Custom,IBM Lotus Notes,IBM Lotus Notes,Internal / Vendor,10,Multiple,Sustain,1,,10,0,2
RB-AME012,Global,High,BUZZ,Buzz is SharePoint repository for team collaboration and content sharing,22000,Silver,Cloud,SharePoint,SQL Server 2008,RB/Vendor (Manage Service),70,SharePoint 2010,Sustain,1,,47,23,1
RB-AME013,Global,High,MyRB,"HRMS solution for the HR functionalities like appraisal, talent management Joiner/ leaver/ transfer etc.",28000,Silver,ERP,PeopleSoft,SQL server 2008 R2,Internal/ Vendor,325,HRMS 9.2,Sustain,1,4,175,150,5
RB-AME014,Global,High,MyDP (My Development Passport),Competency development solution globally and learning management system for sales function only.,24000,Silver,Custom,.Net,SQL server 2012,Internal/ Vendor,170,NA,Sustain,1,2,155,15,1
RB-AME015,Global,High,MyLearning,Learning management tool for all the RB specific internal trainings,28000,Silver,Cloud,.Net,NA,Internal/ Vendor,127,NA,Sustain,1,1,82,45,0
RB-AME016,Global,High,JDE,J.D. Edwards abbreviated as JDE is an Enterprise Resource Planning System implemented in RB,7200,Gold,ERP,"RPG/400, CL/400",DB2/400,Internal/Vendor,2200,A7.3 CUM 10,Sustain,20,14,1300,900,100
RB-AME017,Global,High,BrandHub (MRM Solution),"BrandHub has been designed for global to support and to host all Marketing assets and collateral relating to both Power brands and local brands. In addition the application will provide the marketing teams with a production tool where creative projects can be managed including the review and approval of all marketing content in an electronic manner. 
",0,Bronze,Cloud,Terradata,NA,Internal / Vendor,75,8.8.29,Develop,1,,75,0,1
RB-AME018,Global,High,OneCMS,Content management System for RB websites ,,Silver,Custom,.Net,SQL Server,Vendor,0,,,,,,,
RB-AME019,Global,High,SAP SCM (SNP),"Distribution planning application
 used to plan the target inventory in a warehouse at a given point of time to ensure no OOS or over stock situation. Supply Network Planning (SNP)  provides a method for network planning integrated between distribution and production planning",953,Gold,Cloud,SAP,DB2 v9.7 ,Internal/vendor,275,SCM 7.0,Develop,1,3,125,150,2
RB-AME020,Global,High,SAP S&OP,"S&OP Hana is a cloud based solution
 used for sales and operation planning in RB. This  solution enables collaborating inputs on supply ,demand, marketing ,sales and finance to ensure the financial plan is met",100,Gold,Cloud,SAP,,internal/vendor,63,IBP 4.0,Develop,1,0.5,43,20,
RB-AME209,Global,High,SAP BASIS,SAP BASIS Service for maintaining the environment,,Gold,ERP,,,,0,,,,,0,0,
RB-AME021,Global,High,Empower (Chromatography Data system),"Empower is a Chromatography Data System (CDS) package for advanced data acquisition, management, processing, reporting and distribution. Chromatography is the science of separating mixtures to determine the identity and concentration of molecules. The results are displayed graphically, with peaks representing higher concentrations. ",170,Bronze,Cloud,"Waters, UK",Oracle 10g,Internal / Vendor,11,Release 3,Sustain,1,,9,2,1
